"subject_id","which_average_better","which_individual_better"
"76097","paired","second"
"76175","paired","second"
"76176","paired","second"
"78644","paired","second"
"78311","paired","first"
"76154","paired","second"
"78156","paired","second"
"78157","paired","second"
"78141","paired","second"
"78443","paired","second"
"77061","paired","second"
"76195","paired","second"
"76244","paired","second"
"76002","paired","second"
"76003","paired","first"
"77277","paired","second"
"76083","paired","second"
"77278","paired","first"
"78052","paired","second"
"76127","paired","first"
"76432","paired","second"
"77271","paired","first"
"76202","paired","first"
"78782","unpaired","second"
"78216","paired","first"
"76001","paired","second"
"78098","unpaired","second"
"78257","paired","first"
"77791","unpaired","second"
"76167","paired","first"
"76341","paired","first"
"76242","paired","first"
"78091","paired","second"
"78665","unpaired","second"
"75992","unpaired","second"
"77167","paired","first"
"77522","paired","second"
"78239","unpaired","second"
"76113","paired","second"
"78258","paired","first"
"78304","unpaired","first"
"76387","paired","second"
"76388","paired","second"
"78328","unpaired","first"
"78831","paired","first"
"76478","paired","second"
"76027","paired","second"
"77668","paired","first"
"76189","unpaired","first"
"77762","paired","second"
"78325","paired","second"
"76743","paired","second"
"77664","unpaired","first"
"77475","paired","second"
"76102","paired","second"
"76419","paired","second"
