"rt","trial_index","time_elapsed","subject_id","stimulus","sprites","response","absDeviation","block","seed","numerosity","matchType","which","bad_subject","log_response","log_numerosity","signed_deviation_raw"
14046,11,203670,"76097","1","letters",82,10,0,1,92,"paired","first","good",4.40671924726425,4.52178857704904,-10
8407,12,212084,"76097","1","letters",97,5,0,1,92,"paired","second","good",4.57471097850338,4.52178857704904,5
4152,13,216246,"76097","3","hearts",76,26,0,3,50,"unpaired","first","good",4.33073334028633,3.91202300542815,26
3741,14,219995,"76097","4","crackers",116,9,0,4,107,"unpaired","first","good",4.75359019110636,4.67282883446191,9
6186,15,226189,"76097","5","bears",73,23,0,5,50,"paired","first","good",4.29045944114839,3.91202300542815,23
4472,16,230668,"76097","5","bears",79,29,0,5,50,"paired","second","good",4.36944785246702,3.91202300542815,29
3786,17,234462,"76097","7","jellyBeans",81,31,0,7,50,"unpaired","first","good",4.39444915467244,3.91202300542815,31
5246,19,243115,"76097","9","mints",133,2,0,9,135,"paired","first","good",4.89034912822175,4.90527477843843,-2
3997,20,247120,"76097","9","mints",146,11,0,9,135,"paired","second","good",4.98360662170834,4.90527477843843,11
5960,21,253086,"76097","11","buttons",138,31,0,11,107,"unpaired","first","good",4.9272536851572,4.67282883446191,31
6190,22,259286,"76097","12","animalCrackers",128,36,0,12,92,"unpaired","first","good",4.85203026391962,4.52178857704904,36
4566,23,263860,"76097","13","letters",111,4,0,13,107,"paired","first","good",4.70953020131233,4.67282883446191,4
3022,24,266890,"76097","13","letters",120,13,0,13,107,"paired","second","good",4.78749174278205,4.67282883446191,13
2598,25,269497,"76097","15","hearts",128,7,0,15,121,"unpaired","first","good",4.85203026391962,4.79579054559674,7
2819,26,272324,"76097","16","crackers",78,14,0,16,64,"unpaired","first","good",4.35670882668959,4.15888308335967,14
3361,28,278958,"76097","17","bears",116,24,1,17,92,"paired","first","good",4.75359019110636,4.52178857704904,24
2414,29,281380,"76097","17","bears",118,26,1,17,92,"paired","second","good",4.77068462446567,4.52178857704904,26
2999,30,284391,"76097","19","jellyBeans",134,1,1,19,135,"unpaired","first","good",4.89783979995091,4.90527477843843,-1
2775,32,291434,"76097","21","mints",129,37,1,21,92,"paired","first","good",4.85981240436167,4.52178857704904,37
2530,33,293971,"76097","21","mints",139,47,1,21,92,"paired","second","good",4.93447393313069,4.52178857704904,47
2849,34,296828,"76097","23","buttons",149,1,1,23,150,"unpaired","first","good",5.00394630594546,5.01063529409626,-1
5394,35,302230,"76097","24","animalCrackers",138,31,1,24,107,"unpaired","first","good",4.9272536851572,4.67282883446191,31
2519,36,304758,"76097","25","letters",133,26,1,25,107,"paired","first","good",4.89034912822175,4.67282883446191,26
4686,37,309452,"76097","25","letters",124,17,1,25,107,"paired","second","good",4.82028156560504,4.67282883446191,17
3012,38,312475,"76097","27","hearts",129,8,1,27,121,"unpaired","first","good",4.85981240436167,4.79579054559674,8
2866,39,315353,"76097","28","crackers",146,4,1,28,150,"unpaired","first","good",4.98360662170834,5.01063529409626,-4
5318,40,320678,"76097","29","bears",87,23,1,29,64,"paired","first","good",4.46590811865458,4.15888308335967,23
3246,41,323934,"76097","29","bears",75,11,1,29,64,"paired","second","good",4.31748811353631,4.15888308335967,11
3867,42,327810,"76097","31","jellyBeans",131,19,1,31,150,"unpaired","first","good",4.87519732320115,5.01063529409626,-19
3095,45,335807,"76097","33","mints",143,22,2,33,121,"paired","first","good",4.96284463025991,4.79579054559674,22
4073,46,339888,"76097","33","mints",145,24,2,33,121,"paired","second","good",4.97673374242057,4.79579054559674,24
2222,47,342118,"76097","35","buttons",89,11,2,35,78,"unpaired","first","good",4.48863636973214,4.35670882668959,11
3566,48,345690,"76097","36","animalCrackers",71,21,2,36,50,"unpaired","first","good",4.26267987704132,3.91202300542815,21
4697,49,350395,"76097","37","letters",125,10,2,37,135,"paired","first","good",4.8283137373023,4.90527477843843,-10
6955,50,357360,"76097","37","letters",133,2,2,37,135,"paired","second","good",4.89034912822175,4.90527477843843,-2
3389,51,360759,"76097","39","hearts",81,3,2,39,78,"unpaired","first","good",4.39444915467244,4.35670882668959,3
4500,52,365267,"76097","40","crackers",131,10,2,40,121,"unpaired","first","good",4.87519732320115,4.79579054559674,10
5591,53,370865,"76097","41","bears",65,15,2,41,50,"paired","first","good",4.17438726989564,3.91202300542815,15
3005,54,373878,"76097","41","bears",70,20,2,41,50,"paired","second","good",4.24849524204936,3.91202300542815,20
4039,55,377926,"76097","43","jellyBeans",78,14,2,43,64,"unpaired","first","good",4.35670882668959,4.15888308335967,14
3909,57,384462,"76097","45","mints",109,12,2,45,121,"paired","first","good",4.69134788222914,4.79579054559674,-12
2455,58,386926,"76097","45","mints",130,9,2,45,121,"paired","second","good",4.86753445045558,4.79579054559674,9
3674,59,390606,"76097","47","buttons",131,10,2,47,121,"unpaired","first","good",4.87519732320115,4.79579054559674,10
2892,60,393507,"76097","48","animalCrackers",148,13,2,48,135,"unpaired","first","good",4.99721227376411,4.90527477843843,13
5553,62,399967,"76097","49","letters",83,5,3,49,78,"paired","first","good",4.4188406077966,4.35670882668959,5
2649,63,402626,"76097","49","letters",79,1,3,49,78,"paired","second","good",4.36944785246702,4.35670882668959,1
4994,64,407628,"76097","51","hearts",139,11,3,51,150,"unpaired","first","good",4.93447393313069,5.01063529409626,-11
3957,65,411591,"76097","52","crackers",93,15,3,52,78,"unpaired","first","good",4.53259949315326,4.35670882668959,15
2232,66,413831,"76097","53","bears",76,26,3,53,50,"paired","first","good",4.33073334028633,3.91202300542815,26
2481,67,416319,"76097","53","bears",79,29,3,53,50,"paired","second","good",4.36944785246702,3.91202300542815,29
2208,68,418536,"76097","55","jellyBeans",128,7,3,55,121,"unpaired","first","good",4.85203026391962,4.79579054559674,7
2309,70,423577,"76097","57","mints",82,18,3,57,64,"paired","first","good",4.40671924726425,4.15888308335967,18
2133,71,425718,"76097","57","mints",93,29,3,57,64,"paired","second","good",4.53259949315326,4.15888308335967,29
2603,72,428329,"76097","59","buttons",130,5,3,59,135,"unpaired","first","good",4.86753445045558,4.90527477843843,-5
3060,73,431400,"76097","60","animalCrackers",137,13,3,60,150,"unpaired","first","good",4.91998092582813,5.01063529409626,-13
3605,74,435012,"76097","61","letters",82,32,3,61,50,"paired","first","good",4.40671924726425,3.91202300542815,32
3446,75,438467,"76097","61","letters",85,35,3,61,50,"paired","second","good",4.44265125649032,3.91202300542815,35
2862,76,441336,"76097","63","hearts",91,27,3,63,64,"unpaired","first","good",4.51085950651685,4.15888308335967,27
2478,77,443821,"76097","64","crackers",129,6,3,64,135,"unpaired","first","good",4.85981240436167,4.90527477843843,-6
4960,79,449927,"76097","65","bears",96,11,4,65,107,"paired","first","good",4.56434819146784,4.67282883446191,-11
3057,80,452993,"76097","65","bears",94,13,4,65,107,"paired","second","good",4.54329478227,4.67282883446191,-13
6173,81,459171,"76097","67","jellyBeans",107,0,4,67,107,"unpaired","first","good",4.67282883446191,4.67282883446191,0
2257,83,466708,"76097","69","mints",114,7,4,69,121,"paired","first","good",4.7361984483945,4.79579054559674,-7
2410,84,469126,"76097","69","mints",122,1,4,69,121,"paired","second","good",4.80402104473326,4.79579054559674,1
2301,85,471437,"76097","71","buttons",111,4,4,71,107,"unpaired","first","good",4.70953020131233,4.67282883446191,4
2800,86,474245,"76097","72","animalCrackers",63,13,4,72,50,"unpaired","first","good",4.14313472639153,3.91202300542815,13
2619,87,476872,"76097","73","letters",80,2,4,73,78,"paired","first","good",4.38202663467388,4.35670882668959,2
3384,88,480264,"76097","73","letters",87,9,4,73,78,"paired","second","good",4.46590811865458,4.35670882668959,9
2492,89,482764,"76097","75","hearts",88,4,4,75,92,"unpaired","first","good",4.47733681447821,4.52178857704904,-4
5477,90,488249,"76097","76","crackers",91,27,4,76,64,"unpaired","first","good",4.51085950651685,4.15888308335967,27
2259,91,490515,"76097","77","bears",116,19,4,77,135,"paired","first","good",4.75359019110636,4.90527477843843,-19
2661,92,493184,"76097","77","bears",122,13,4,77,135,"paired","second","good",4.80402104473326,4.90527477843843,-13
3102,93,496296,"76097","79","jellyBeans",57,7,4,79,50,"unpaired","first","good",4.04305126783455,3.91202300542815,7
3222,96,503782,"76097","81","mints",127,6,5,81,121,"paired","first","good",4.84418708645859,4.79579054559674,6
2914,97,506704,"76097","81","mints",130,9,5,81,121,"paired","second","good",4.86753445045558,4.79579054559674,9
5236,98,511948,"76097","83","buttons",130,9,5,83,121,"unpaired","first","good",4.86753445045558,4.79579054559674,9
3315,99,515271,"76097","84","animalCrackers",82,32,5,84,50,"unpaired","first","good",4.40671924726425,3.91202300542815,32
4951,100,520230,"76097","85","letters",79,15,5,85,64,"paired","first","good",4.36944785246702,4.15888308335967,15
2743,101,522982,"76097","85","letters",80,16,5,85,64,"paired","second","good",4.38202663467388,4.15888308335967,16
2765,102,525755,"76097","87","hearts",118,68,5,87,50,"unpaired","first","good",4.77068462446567,3.91202300542815,68
2353,103,528114,"76097","88","crackers",140,5,5,88,135,"unpaired","first","good",4.9416424226093,4.90527477843843,5
2238,104,530361,"76097","89","bears",78,28,5,89,50,"paired","first","good",4.35670882668959,3.91202300542815,28
3760,105,534128,"76097","89","bears",76,26,5,89,50,"paired","second","good",4.33073334028633,3.91202300542815,26
3385,106,537526,"76097","91","jellyBeans",92,0,5,91,92,"unpaired","first","good",4.52178857704904,4.52178857704904,0
4309,108,544801,"76097","93","mints",113,35,5,93,78,"paired","first","good",4.72738781871234,4.35670882668959,35
7256,109,552066,"76097","93","mints",114,36,5,93,78,"paired","second","good",4.7361984483945,4.35670882668959,36
3208,110,555284,"76097","95","buttons",93,29,5,95,64,"unpaired","first","good",4.53259949315326,4.15888308335967,29
4228,111,559519,"76097","96","animalCrackers",131,39,5,96,92,"unpaired","first","good",4.87519732320115,4.52178857704904,39
4375,115,570624,"76097","3","hearts",90,40,6,3,50,"unpaired","second","good",4.49980967033027,3.91202300542815,40
