"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85939",1,92,"diffPos_sameObj",90,105,97.2111104761178,2,13,5.21111047611784,15,7.5,2.28888952388216,-7.34375
"85939",2,149.625,"diffPos_diffObj",130,135,132.476412994918,19.625,14.625,17.1485870050823,5,17.125,-0.0235870050823053,50.28125
"85939",3,63.625,"samePos_sameObj",50,68,58.309518948453,13.625,4.375,5.315481051547,18,9,3.684518948453,-35.71875
"85939",4,135,"samePos_diffObj",115,123,118.932754109202,20,12,16.0672458907976,8,16,-0.0672458907976221,35.65625
"85939",5,92,"samePos_sameObj",100,101,100.498756211209,8,9,8.49875621120898,1,8.5,0.00124378879101528,-7.34375
"85939",6,77.625,"samePos_sameObj",70,88,78.4856674813943,7.625,10.375,0.86066748139433,18,9,8.13933251860567,-21.71875
"85939",7,135,"samePos_sameObj",95,110,102.225241501304,40,25,32.7747584986956,15,32.5,-0.274758498695618,35.65625
"85939",8,120.625,"samePos_sameObj",110,120,114.891252930761,10.625,0.625,5.73374706923941,10,5.625,-0.108747069239413,21.28125
"85939",9,135,"samePos_sameObj",120,111,115.412304370028,15,24,19.587695629972,9,19.5,-0.0876956299719609,35.65625
"85939",10,63.625,"diffPos_diffObj",50,79,62.8490254498827,13.625,15.375,0.77597455011734,29,14.5,13.7240254498827,-35.71875
"85939",11,149.625,"diffPos_sameObj",135,100,116.189500386223,14.625,49.625,33.4354996137774,35,32.125,-1.31049961377741,50.28125
"85939",12,120.625,"diffPos_diffObj",111,115,112.982299498638,9.625,5.625,7.64270050136173,4,7.625,-0.0177005013617304,21.28125
"85939",13,77.625,"diffPos_sameObj",75,61,67.6387462923434,2.625,16.625,9.98625370765663,14,9.625,-0.36125370765663,-21.71875
"85939",14,120.625,"samePos_diffObj",100,118,108.627804912002,20.625,2.625,11.9971950879979,18,11.625,-0.372195087997852,21.28125
"85939",15,63.625,"diffPos_sameObj",75,72,73.4846922834954,11.375,8.375,9.85969228349536,3,9.875,0.0153077165046369,-35.71875
"85939",16,77.625,"samePos_diffObj",100,69,83.0662386291807,22.375,8.625,5.44123862918075,31,15.5,10.0587613708193,-21.71875
