"subject_id","Q1_resp","Q2_resp","Q3_resp"
"85939","Average","letters","jellyBeans"
"85941","Second_half","jellyBeans","mints"
"85948","First_half","letters","None"
"85952","Second_half","letters","jellyBeans"
"85963","Second_half","letters","jellyBeans"
"85964","Second_half","rocks","jellyBeans"
"85968","Second_half","jellyBeans","bears"
"85970","First_half","letters","jellyBeans"
"85988","Second_half","jellyBeans","crackers"
"86065","First_half","animalCrackers","jellyBeans"
"86068","Second_half","letters","rocks"
"86069","First_half","jellyBeans","crackers"
"86070","Average","None","rocks"
"86084","Second_half","letters","fruits"
"86087","First_half","letters","rocks"
"86090","Second_half","jellyBeans","crackers"
"86091","Second_half","crackers","jellyBeans"
"86095","Second_half","bears","rocks"
"86096","First_half","letters","mints"
"86098","First_half","jellyBeans","letters"
"86101","First_half","None","None"
"86115","First_half","crackers","letters"
"86119","First_half","letters","crackers"
"86130","First_half","None","None"
"86144","Second_half","letters","animalCrackers"
"86151","First_half","letters","rocks"
"86152","Average","letters","None"
"86159","Second_half","letters","rocks"
"86169","Second_half","letters","jellyBeans"
"86201","Average","rocks","crackers"
"86210","First_half","mints","None"
"86221","First_half","letters","mints"
"86310","Average","None","fruits"
"86316","Average","fruits","bears"
"86331","Average","letters","rocks"
"86346","Second_half","rocks","jellyBeans"
"86395","First_half","letters","jellyBeans"
"86431","First_half","letters","mints"
"86798","First_half","letters","jellyBeans"
"86827","First_half","jellyBeans","crackers"
"86861","Second_half","jellyBeans","rocks"
"86982","First_half","None","rocks"
"86990","First_half","letters","mints"
"87035","Average","None","None"
"87057","First_half","letters","jellyBeans"
"87145","Second_half","crackers","bears"
"87201","First_half","bears","None"
"87305","First_half","letters","rocks"
"87313","Second_half","letters","mints"
"87354","First_half","animalCrackers","fruits"
"87409","First_half","jellyBeans","letters"
"87446","Average","bears","crackers"
"87738","First_half","letters","bears"
"87820","First_half","None","None"
"87861","First_half","None","None"
"87880","First_half","letters","rocks"
"87899","Average","letters","mints"
"87943","First_half","mints","jellyBeans"
"87959","First_half","crackers","jellyBeans"
"88368","Second_half","crackers","jellyBeans"
"88371","Average","letters","mints"
"88398","Second_half","letters","animalCrackers"
"88469","First_half","letters","rocks"
"88729","Second_half","None","None"
"88773","First_half","letters","jellyBeans"
"88783","First_half","jellyBeans","rocks"
"88928","First_half","letters","None"
"88932","Average","animalCrackers","crackers"
"88940","First_half","animalCrackers","rocks"
"89019","First_half","letters","rocks"
"89716","First_half","letters","rocks"
"89800","First_half","animalCrackers","rocks"
"89873","First_half","letters","fruits"
